sp_code,DE,LMA,Nmass,Aarea,Rdmass
CULREF,NA,194.984,1.459,NA,NA
VIOSP,NA,74.131,4.932,NA,NA
ARBMEN,E,123.027,1.346,7.762,NA
HETARB,E,229.087,1.038,10.715,NA
PRUILI,E,158.489,1.778,8.511,NA
RHACAL,E,107.152,1.905,7.586,NA
UMBCAL,E,131.826,1.766,8.511,NA
DIDMAC,E,NA,NA,10,NA
QUAGRA,D,NA,NA,11.482,NA
MICFAL,E,NA,NA,9.55,NA
ROUMON,E,NA,NA,10.965,NA
OURHEX,E,NA,NA,4.467,NA
ACEMON,D,83.176,2.228,NA,NA
AEGGEN,D,37.154,3.266,NA,NA
AEGOVA,NA,43.652,2.831,NA,NA
AVEBAR,NA,40.738,2.41,NA,NA
AVEBRO,NA,54.954,2.018,NA,NA
BRADIS,NA,30.2,1.722,NA,NA
BRAPHO,D,63.096,1.622,NA,NA
BRARET,NA,54.954,1.91,NA,NA
BROERE,D,54.954,2.128,NA,NA
BROLAN,D,38.905,1.879,NA,NA
BROMAD,NA,26.915,2.109,NA,NA
BUPRIG,D,107.152,1.374,NA,NA
BUXSEM,E,162.181,1.148,NA,NA
CALNEP,E,38.019,3.192,NA,NA
CLEVIT,NA,36.308,3.221,NA,NA
CONARV,NA,43.652,2.871,NA,NA
CRESAN,NA,38.019,1.892,NA,NA
CREVES,NA,54.954,2.761,NA,NA
DACGLO,D,44.668,2.761,NA,NA
DAUCAR,D,77.625,2.761,NA,NA
DESRIG,NA,42.658,2.553,NA,NA
DICISC,NA,34.674,2.018,NA,NA
KICSPU,NA,28.84,2.198,NA,NA
MEDMIN,D,30.2,4.831,NA,NA
MELCIL,NA,42.658,2.704,NA,NA
PHILAT,E,131.826,1.148,NA,NA
PHLPRA,NA,37.154,2.673,NA,NA
PISTER,D,93.325,2.158,NA,NA
PLALAN,D,63.096,1.795,NA,NA
PSOBIT,NA,52.481,4.285,NA,NA
QUEILE,E,147.911,1.652,NA,NA
QUEPUB,D,100,1.694,NA,NA
RUBPER,E,70.795,1.416,NA,NA
RUBSP,D,58.884,2.466,NA,NA
SANMIN,D,56.234,2.296,NA,NA
SCAATR,NA,83.176,2.773,NA,NA
URODAL,NA,31.623,3.221,NA,NA
VIBTIN,E,91.201,1.262,NA,NA
ACEMON,D,69.183,2.128,10.233,NA
ARIROT,NA,36.308,3.281,NA,NA
BRAPHO,D,54.954,2.113,13.804,NA
CALNEP,E,34.674,2.704,NA,NA
CRAMON,D,70.795,1.892,12.023,NA
DACGLO,D,35.481,3.436,NA,NA
DORPEN,D,54.954,3.42,9.772,NA
HELNUM,E,66.069,2.564,NA,NA
LAVLAT,E,81.283,1.945,NA,NA
PISTER,D,69.183,2.477,NA,NA
PLALAN,D,50.119,2.393,16.982,NA
PSOBIT,NA,51.286,4.416,NA,NA
QUEPUB,D,93.325,2.113,NA,NA
RUBPER,E,61.66,1.945,12.589,NA
RUBSP,D,53.703,2.312,9.12,NA
SCAATR,NA,74.131,2.972,NA,NA
TEUCHA,E,69.183,2.113,14.454,NA
VIBTIN,E,61.66,1.528,4.677,NA
ACEMON,D,79.433,1.795,NA,NA
AEGGEN,D,43.652,2.506,14.791,NA
AGRSP,NA,36.308,3.499,NA,NA
ANAARV,NA,25.119,2.884,NA,NA
ARIROT,NA,48.978,3.491,NA,NA
AVEBAR,NA,39.811,2.477,NA,NA
AVEBRO,D,63.096,1.738,4.266,NA
BRADIS,D,33.884,2.421,8.511,NA
BRAPHO,D,64.565,1.698,7.413,NA
BROERE,D,53.703,1.995,10.715,NA
